0.3444 	WARNING 	Movie2 stim could not be imported and won't be available
3.7789 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe998eb8>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7789 	EXP 	window1: recordFrameIntervals = False
3.9442 	EXP 	window1: recordFrameIntervals = True
4.1278 	EXP 	window1: recordFrameIntervals = False
5.6585 	EXP 	Set  sound=C
5.6905 	EXP 	Set  sound=900.0
5.6905 	EXP 	Sound  set volume 0.200
5.7393 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.7435 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'ITI', units=u'norm', win=Window(...), wrapWidth=1)
5.7442 	EXP 	Created sequence: random, trialTypes=1, nReps=50, seed=None
5.7448 	EXP 	New trial (rep=0, index=0): None
5.7451 	EXP 	window1: recordFrameIntervals = False
5.7620 	EXP 	text: autoDraw = True
5.7623 	EXP 	window1: recordFrameIntervals = False
6.2630 	EXP 	Sound  started
6.4458 	EXP 	Sound  stopped
6.5462 	DATA 	Keypress: space
6.5470 	EXP 	Sound  stopped
6.5626 	EXP 	text: autoDraw = False
6.5626 	EXP 	text_3: autoDraw = True
7.5474 	EXP 	New trial (rep=1, index=0): None
7.5476 	EXP 	window1: recordFrameIntervals = False
7.5631 	EXP 	text_3: autoDraw = False
7.5631 	EXP 	text_3: autoDraw = False
7.5631 	EXP 	text: autoDraw = True
7.5634 	EXP 	window1: recordFrameIntervals = False
8.0807 	EXP 	Sound  started
8.1302 	EXP 	Sound  stopped
8.3311 	DATA 	Keypress: space
8.3314 	EXP 	Sound  stopped
8.3475 	EXP 	text: autoDraw = False
8.3475 	EXP 	text_3: autoDraw = True
9.3322 	EXP 	New trial (rep=2, index=0): None
9.3325 	EXP 	window1: recordFrameIntervals = False
9.3481 	EXP 	text_3: autoDraw = False
9.3481 	EXP 	text_3: autoDraw = False
9.3481 	EXP 	text: autoDraw = True
9.3484 	EXP 	window1: recordFrameIntervals = False
9.8488 	EXP 	Sound  started
9.9318 	EXP 	Sound  stopped
10.1156 	DATA 	Keypress: space
10.1159 	EXP 	Sound  stopped
10.1318 	EXP 	text: autoDraw = False
10.1318 	EXP 	text_3: autoDraw = True
11.1168 	EXP 	New trial (rep=3, index=0): None
11.1170 	EXP 	window1: recordFrameIntervals = False
11.1329 	EXP 	text_3: autoDraw = False
11.1329 	EXP 	text_3: autoDraw = False
11.1329 	EXP 	text: autoDraw = True
11.1332 	EXP 	window1: recordFrameIntervals = False
11.6507 	EXP 	Sound  started
11.8506 	EXP 	Sound  stopped
11.8842 	DATA 	Keypress: space
11.8844 	EXP 	Sound  stopped
11.9006 	EXP 	text: autoDraw = False
11.9006 	EXP 	text_3: autoDraw = True
12.8853 	EXP 	New trial (rep=4, index=0): None
12.8855 	EXP 	window1: recordFrameIntervals = False
12.9011 	EXP 	text_3: autoDraw = False
12.9011 	EXP 	text_3: autoDraw = False
12.9011 	EXP 	text: autoDraw = True
12.9013 	EXP 	window1: recordFrameIntervals = False
13.4020 	EXP 	Sound  started
13.5685 	EXP 	Sound  stopped
13.6355 	DATA 	Keypress: space
13.6358 	EXP 	Sound  stopped
13.6517 	EXP 	text: autoDraw = False
13.6517 	EXP 	text_3: autoDraw = True
14.6366 	EXP 	New trial (rep=5, index=0): None
14.6369 	EXP 	window1: recordFrameIntervals = False
14.6525 	EXP 	text_3: autoDraw = False
14.6525 	EXP 	text_3: autoDraw = False
14.6525 	EXP 	text: autoDraw = True
14.6528 	EXP 	window1: recordFrameIntervals = False
15.1865 	EXP 	Sound  started
15.3700 	EXP 	Sound  stopped
15.4203 	DATA 	Keypress: space
15.4206 	EXP 	Sound  stopped
15.4367 	EXP 	text: autoDraw = False
15.4367 	EXP 	text_3: autoDraw = True
16.4215 	EXP 	New trial (rep=6, index=0): None
16.4217 	EXP 	window1: recordFrameIntervals = False
16.4374 	EXP 	text_3: autoDraw = False
16.4374 	EXP 	text_3: autoDraw = False
16.4374 	EXP 	text: autoDraw = True
16.4376 	EXP 	window1: recordFrameIntervals = False
16.9380 	EXP 	Sound  started
17.0713 	EXP 	Sound  stopped
17.1716 	DATA 	Keypress: space
17.1719 	EXP 	Sound  stopped
17.1879 	EXP 	text: autoDraw = False
17.1879 	EXP 	text_3: autoDraw = True
18.1726 	EXP 	New trial (rep=7, index=0): None
18.1728 	EXP 	window1: recordFrameIntervals = False
18.1887 	EXP 	text_3: autoDraw = False
18.1887 	EXP 	text_3: autoDraw = False
18.1887 	EXP 	text: autoDraw = True
18.1889 	EXP 	window1: recordFrameIntervals = False
18.8563 	EXP 	Sound  started
19.0562 	EXP 	Sound  stopped
19.0565 	DATA 	Keypress: space
19.0568 	EXP 	Sound  stopped
19.0729 	EXP 	text: autoDraw = False
19.0729 	EXP 	text_3: autoDraw = True
20.0574 	EXP 	New trial (rep=8, index=0): None
20.0576 	EXP 	window1: recordFrameIntervals = False
20.0734 	EXP 	text_3: autoDraw = False
20.0734 	EXP 	text_3: autoDraw = False
20.0734 	EXP 	text: autoDraw = True
20.0736 	EXP 	window1: recordFrameIntervals = False
20.5739 	EXP 	Sound  started
20.6070 	EXP 	Sound  stopped
20.8076 	DATA 	Keypress: space
20.8078 	EXP 	Sound  stopped
