trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.thisTrial,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,jitterTime,date,frameRate,expName,session,participant,
0,0,0,0,None,space,0,0.911614179611,0.71,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
1,0,1,0,None,None,0,,0.99,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
2,0,2,0,None,space,0,1.02136492729,0.76,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
3,0,3,0,None,space,0,1.06677699089,0.92,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
4,0,4,0,None,space,0,1.15002202988,0.94,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
5,0,5,0,None,space,0,0.767349004745,0.5,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
6,0,6,0,None,space,0,0.733443975449,0.52,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
7,0,7,0,None,space,0,1.01641988754,0.81,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
8,0,8,0,None,space,0,0.549633979797,0.99,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
9,0,9,0,None,space,0,1.21697616577,0.97,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
10,0,10,0,None,space,0,1.0836648941,0.88,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
11,0,11,0,None,space,0,1.11660981178,0.9,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
12,0,12,0,None,space,0,0.79980301857,0.51,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
13,0,13,0,None,space,0,0.93318605423,0.72,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
14,0,14,0,None,space,0,0.883449077606,0.67,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
15,0,15,0,None,space,0,0.800248861313,0.55,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
16,0,16,0,None,space,0,1.18366599083,0.96,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
17,0,17,0,None,space,0,1.03374886513,0.82,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
18,0,18,0,None,space,0,0.867470026016,0.5,2015_Jun_02_1436,59.9451757207,DondersAuditory,001,1,
