xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.380204200745,,,,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,0,0,0,0,None,,,g,1,0.484350919724,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,1,0,1,0,None,,,g,1,0.584405183792,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,2,0,2,0,None,,,g,1,0.551252126694,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,3,0,3,0,None,,,g,1,0.48436999321,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,4,0,4,0,None,,,g,1,0.484695196152,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,5,0,5,0,None,,,g,1,0.434219837189,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,6,0,6,0,None,,,g,1,0.400638103485,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,7,0,7,0,None,,,g,1,0.300904989243,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,8,0,8,0,None,,,g,1,0.384364843369,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,9,0,9,0,None,,,g,1,0.384062051773,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,10,0,10,0,None,,,g,1,0.234099149704,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
-200,g,-200,0,0,0,3,11,0,11,0,None,,,t,0,0.367635011673,LearningTask,,,59.9208542032,3,2015_Mar_18_1551,750,
