xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,StartTrialTimeStamp,resp.keys,resp.corr,resp.rt,key_resp_8.keys,learningStimOnset,learningFixOnset,EndTrialTimeStamp,,,,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant
-200,a,-200,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,63.74942398,,,,,,,66.75656104,4.438280106,3.00713706,1.431143045,0.25,stop,invertedtrianglemagenta.gif,z,1,0.550897121,None,0,0,0,1,0,0,0,0.002130985,0.50299716,0.753167152,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,66.75705409,,,,,,,69.75841594,3.001854897,3.001361847,0.00049305,0.25,stop,squareblue.gif,m,1,0.450819969,None,0,0,0,2,0,0,0,0.001017094,0.514883995,0.765054941,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,69.75889111,,,,,,,72.76109099,3.002675057,3.002199888,0.000475168,-1,go,circlewhite.gif,None,0,,z,1,0,0,2,0,1,0,0.001118183,0.5152421,,0.082992077,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,72.76156902,,,,,,,75.76310802,3.002017021,3.001538992,0.000478029,-1,go,trianglegreen.gif,None,0,,None,2,0,0,2,0,2,0,0.00112915,0.514869213,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,75.76365209,,,,,,,78.76532006,3.002212048,3.001667976,0.000544071,0.25,stop,squareblue.gif,None,0,,None,2,0,0,3,1,2,0,0.00117588,0.515225887,0.765393972,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,2,1,5,0,,,,,,,,,,,,,,,,,78.76584196,,,,,,,81.76780391,3.002483845,3.001961946,0.000521898,-1,go,circlewhite.gif,z,1,0.367306948,None,3,0.367306948,1,3,1,2,0,0.001064062,0.515067101,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,81.76829195,,,,,,,84.77076793,3.00296402,3.002475977,0.000488043,0.25,stop,invertedtrianglemagenta.gif,m,1,0.500877142,None,3,0.367306948,1,4,1,2,0,0.000978947,0.515245914,0.765624046,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,3,1,7,1,,,,,,,,,,,,,,,,,84.77148414,,,,,,,87.77338099,3.002613068,3.001896858,0.000716209,0.25,stop,diamondgray.gif,None,0,,None,3,0.367306948,1,5,2,2,0,0.001621962,0.514532804,0.764651775,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,z,0,-200,,,,,,,,,,4,0,8,0,,,,,,,,,,,,,,,,,87.77427912,,,,,,,90.77585006,3.002469063,3.00157094,0.000898123,-1,go,trianglegreen.gif,z,1,0.517748117,None,4,0.885055065,2,5,2,2,0,0.001233816,0.514310837,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,90.77650714,,,,,,,93.77813911,3.002289057,3.001631975,0.000657082,-1,go,crossyellow.gif,m,1,0.700853109,None,5,1.585908175,3,5,2,2,0,0.001134157,0.51463604,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.322606087,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.133211851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,3,0,0,0,0,None,,,103.5206971,a,1,0.334184885,None,0.513597965,0.001920938,106.5202379,,2.999540806,,,,,,,,,,,,,,,,,,,,,,4.18,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,2,0,0,0,0,None,,,106.724818,s,1,0.367411137,None,0.52916193,0.000969887,109.723192,3.202954054,2.998373986,0.204580068,,,,,,,,,,,,,,,,,,,,,1.85,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,0,0,0,0,0,None,,,109.9351821,w,1,0.334095001,None,0.504659891,0.00095892,112.9255431,3.202351093,2.990360975,0.211990118,,,,,,,,,,,,,,,,,,,,,0.44,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,0,0,0,0,None,,,113.1563621,w,1,0.40100503,None,0.503044128,0.000888109,116.1785409,3.252997875,3.022178888,0.230818987,,,,,,,,,,,,,,,,,,,,,0.29,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,3,0,0,0,0,None,,,116.455292,a,1,0.367660046,None,0.506603956,0.001092911,119.447716,3.269175053,2.992424012,0.276751041,,,,,,,,,,,,,,,,,,,,,0.44,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,1,0,0,0,0,None,,,119.6815491,q,1,0.384135008,None,0.51645112,0.000920057,122.68344,3.235723972,3.001890898,0.233833074,,,,,,,,,,,,,,,,,,,,,1.95,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,0,0,0,0,None,,,122.9411659,q,1,0.41811204,None,0.509175062,0.001006126,125.9362121,3.252772093,2.995046139,0.257725954,,,,,,,,,,,,,,,,,,,,,1.86,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,3,0,0,0,0,None,,,126.1845381,a,1,0.417559147,None,0.501627207,0.001054049,129.1884069,3.252194881,3.003868818,0.248326063,,,,,,,,,,,,,,,,,,,,,1.25,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,0,8,2,0,0,0,0,None,,,129.4653089,s,1,0.317306995,None,0.506576061,0.000950098,132.457725,3.269318104,2.992416143,0.276901961,,,,,,,,,,,,,,,,,,,,,0.8,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,1,9,2,0,0,0,0,None,,,132.780123,s,1,0.417776108,None,0.511412144,0.000941038,135.777122,3.319396973,2.996999026,0.322397947,,,,,,,,,,,,,,,,,,,,,0.91,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,2,10,2,0,0,0,0,None,,,136.052182,s,1,0.334389925,None,0.508602858,0.00107193,139.0470309,3.269908905,2.994848967,0.275059938,,,,,,,,,,,,,,,,,,,,,1.99,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,3,11,2,0,0,0,0,None,,,139.3333941,s,1,0.350949049,None,0.513505936,0.000998974,142.332665,3.285634041,2.999270916,0.286363125,,,,,,,,,,,,,,,,,,,,,0.44,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,2,3,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,0,12,3,0,0,0,0,None,,,142.648792,a,1,0.400861025,None,0.50085783,0.001065969,145.6518979,3.31923294,3.003105879,0.316127061,,,,,,,,,,,,,,,,,,,,,3.89,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,1,13,2,0,0,0,0,None,,,146.004236,s,1,0.250689983,None,0.51478219,0.001024008,149.0045881,3.35269022,3.000352144,0.352338076,,,,,,,,,,,,,,,,,,,,,1.77,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,2,14,2,0,0,0,0,None,,,149.309768,s,1,0.401098013,None,0.511884928,0.000946999,152.3071501,3.302561999,2.997382164,0.305179835,,,,,,,,,,,,,,,,,,,,,4.25,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,3,15,1,0,0,0,0,None,,,152.6463521,q,1,0.484233141,None,0.51096487,0.001076937,155.642941,3.335790872,2.996588945,0.339201927,,,,,,,,,,,,,,,,,,,,,0.36,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,3,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,0,16,2,0,0,0,0,None,,,155.9653871,s,1,0.384341002,None,0.511211157,0.001042128,158.962549,3.319607973,2.997161865,0.322446108,,,,,,,,,,,,,,,,,,,,,4.12,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,0,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,1,17,0,0,0,0,0,None,,,159.3632081,w,1,0.434034109,None,0.51641202,0.000984192,162.3651531,3.402604103,3.001945019,0.400659084,,,,,,,,,,,,,,,,,,,,,4.07,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,2,18,1,0,0,0,0,None,,,162.7185409,q,1,0.434472799,None,0.513725996,0.00116086,165.7184601,3.353307009,2.999919176,0.353387833,,,,,,,,,,,,,,,,,,,,,0.62,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,2,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,3,19,2,0,0,0,0,None,,,166.0759971,s,1,0.400911093,None,0.509220839,0.001013041,169.0710001,3.352540016,2.995002985,0.357537031,,,,,,,,,,,,,,,,,,,,,0.41,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,4,3,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,0,20,0,0,0,0,0,None,,,169.4562809,w,1,0.434319019,None,0.514861107,0.001065969,172.457042,3.38604188,3.000761032,0.385280848,,,,,,,,,,,,,,,,,,,,,0.94,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,1,21,2,0,0,0,0,None,,,172.8701141,s,1,0.300992966,None,0.503726959,0.000952005,175.8595459,3.402503967,2.989431858,0.413072109,,,,,,,,,,,,,,,,,,,,,0.72,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,1,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,2,22,1,0,0,0,0,None,,,176.256932,q,1,0.400972128,None,0.502776861,0.001055956,179.2620161,3.402470112,3.005084038,0.397386074,,,,,,,,,,,,,,,,,,,,,1.91,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,2,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,3,23,3,0,0,0,0,None,,,179.6851261,a,1,0.467748165,None,0.510396957,0.00090313,182.6814141,3.419398069,2.996288061,0.423110008,,,,,,,,,,,,,,,,,,,,,0.34,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,5,3,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,0,24,0,0,0,0,0,None,,,183.132251,w,1,0.384052992,None,0.516392946,0.000989914,186.1343479,3.452933789,3.002096892,0.450836897,,,,,,,,,,,,,,,,,,,,,2.09,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,1,25,2,0,0,0,0,None,,,186.5788031,s,1,0.300726175,None,0.505888939,0.001004934,189.5711651,3.436817169,2.992362023,0.444455146,,,,,,,,,,,,,,,,,,,,,0.26,LearningTask,,,59.9563154,3,2015_May_29_1129,10
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,2,26,3,0,0,0,0,None,,,189.9808559,a,1,0.350980043,None,0.50676322,0.000939131,192.973412,3.402246952,2.992556095,0.409690857,,,,,,,,,,,,,,,,,,,,,1.85,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,2,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,3,27,1,0,0,0,0,None,,,193.4459691,q,1,0.400943041,None,0.511024952,0.001128912,196.442843,3.469430923,2.996873855,0.472557068,,,,,,,,,,,,,,,,,,,,,3.8,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,6,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,7,0,28,3,0,0,0,0,None,,,196.893486,q,0,0.367516041,None,0.516484022,0.000905037,199.895721,3.452877999,3.002234936,0.450643063,,,,,,,,,,,,,,,,,,,,,0.37,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,7,0,28,3,1,0,1,0,None,,,199.8964,a,1,0.300696135,None,0.515841961,0.001695871,202.8977761,3.002055168,3.001376152,0.000679016,,,,,,,,,,,,,,,,,,,,,0.34,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,None,7,0,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9563154,3,2015_May_29_1129,10
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,None,7,1,29,1,0,0,0,0,None,,,203.3696711,q,1,0.35010004,None,0.51191783,0.00095892,206.3666661,3.468889952,2.996994973,0.471894979,,,,,,,,,,,,,,,,,,,,,2,LearningTask,,,59.9563154,3,2015_May_29_1129,10
