xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.385157108307,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,,,,,t,1,0.417483091354,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,0,0,0,1,1,0,1,0,,,,,,,,,,,,t,1,0.567770004272,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,,,,,g,1,0.534554958344,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,,,,,h,1,0.500830173492,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,,y,1,0.467662096024,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,g,-200,,,,,,,,,0,0,0,3,0,0,0,0,None,,,g,1,0.517999172211,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,g,-200,,,,,,,,,0,0,0,3,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,h,-200,,,,,,,,,0,1,1,2,0,0,0,0,None,,,h,1,0.500888109207,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,h,-200,,,,,,,,,0,1,1,2,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,y,200,,,,,,,,,0,2,2,0,0,0,0,0,None,,,h,0,0.651258945465,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
200,y,200,,,,,,,,,0,2,2,0,,,,,,,,,,,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,0,0,0,0,None,,,t,1,0.501265048981,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,1,0,1,0,None,,,t,1,0.417586088181,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,2,0,2,0,None,,,t,1,0.701418161392,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,3,0,3,0,None,,,t,1,0.601094007492,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,4,0,4,0,None,,,t,1,0.450969934464,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,5,0,5,0,None,,,t,1,0.367347002029,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,6,0,6,0,None,,,t,1,0.267375946045,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,7,0,7,0,None,,,t,1,0.367454051971,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,8,0,8,0,None,,,t,1,0.2508020401,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,9,0,9,0,None,,,t,1,0.300981998444,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,10,0,10,0,None,,,t,1,0.317429065704,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,11,0,11,0,None,,,t,1,0.300698041916,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
-200,t,200,,,,,,,,,0,3,3,1,12,0,12,0,None,,,t,1,0.334409952164,LearningTask,,,59.9822954936,3,2015_Mar_18_1605,400,
