xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.406744003296,,,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
200,h,-200,0,0,0,2,0,0,0,0,None,,,h,1,0.434386014938,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
200,h,-200,0,0,0,2,,,,,,,,,,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
-200,t,200,0,1,1,1,0,0,0,0,None,,,None,0,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
-200,t,200,0,1,1,1,,,,,,,,,,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
-200,t,200,0,2,2,1,0,0,0,0,None,,,t,1,0.384358167648,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
-200,t,200,0,2,2,1,1,0,1,0,None,,,t,1,0.417810916901,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
-200,t,200,0,2,2,1,,,,,,,,,,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
200,y,200,0,3,3,0,0,0,0,0,None,,,y,1,0.3179500103,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
200,y,200,0,3,3,0,,,,,,,,,,,LearningTask,,,59.9700314555,3,2015_Mar_18_1523,650,
