xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.405237913132,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,h,-200,0,0,0,2,0,0,0,0,,,,,,,,,,,,y,0,0.551078081131,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,h,-200,0,0,0,2,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,,h,1,0.400936841965,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,h,-200,0,1,1,2,1,0,1,0,,,,,,,,,,,,y,0,0.461039066315,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,,g,1,0.484272956848,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,0,2,2,3,1,0,1,0,,,,,,,,,,,,g,1,0.567626953125,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,,,,,,t,1,0.46760892868,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,y,200,1,0,4,0,0,0,0,0,,,,,,,,,,,,y,1,0.36752986908,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,y,200,1,0,4,0,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,t,200,1,1,5,1,0,0,0,0,,,,,,,,,,,,t,1,0.451057910919,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,y,200,1,2,6,0,0,0,0,0,,,,,,,,,,,,h,0,0.550884962082,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
200,y,200,1,2,6,0,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,1,3,7,3,0,0,0,0,,,,,,,,,,,,g,1,0.534292936325,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,1,3,7,3,1,0,1,0,,,,,,,,,,,,h,0,0.55100107193,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
-200,g,-200,1,3,7,3,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0236699939,3,2015_Mar_18_1525,651,
