xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,1.07589912415,,,,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,0,0,0,2,,,,,,,h,1,0.484634160995,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,0,1,1,3,,,,,,,g,1,0.467236042023,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,0,2,2,1,,,,,,,t,1,0.351092100143,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,0,3,3,0,,,,,,,y,1,0.434314012527,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,0,0,0,3,,,g,1,0.484575986862,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,0,1,1,1,,,t,1,0.417284011841,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,0,2,2,2,,,h,1,0.384593009949,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,0,3,3,0,,,y,1,0.417858123779,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,1,0,4,0,,,y,1,0.467331886292,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,1,1,5,3,,,None,0,,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,1,2,6,1,,,t,1,0.56797003746,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,1,3,7,2,,,h,1,0.334342956543,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,2,0,8,3,,,g,1,0.334431886673,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,2,1,9,0,,,y,1,0.367998123169,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,2,2,10,1,,,t,1,0.284471988678,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,2,3,11,2,,,h,1,0.417939901352,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,3,0,12,2,,,h,1,0.534107923508,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,3,1,13,0,,,y,1,0.551401853561,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,3,2,14,3,,,g,1,0.551201105118,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,3,3,15,1,,,t,1,0.517712116241,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,4,0,16,3,,,g,1,0.500966072083,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,4,1,17,2,,,h,1,0.433853149414,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,4,2,18,0,,,y,1,0.317743062973,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,4,3,19,1,,,t,1,0.401025056839,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,5,0,20,0,,,h,0,0.334172010422,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,5,1,21,2,,,h,1,0.384266853333,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,5,2,22,1,,,t,1,0.484523057938,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,g,-200,,,,,5,3,23,3,,,g,1,0.434413909912,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
-200,t,200,,,,,6,0,24,1,,,t,1,0.467627048492,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,h,-200,,,,,6,1,25,2,,,h,1,0.484467029572,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
200,y,200,,,,,6,2,26,0,,,y,1,0.384182929993,LearningTask,,,59.9513448768,3,2015_Mar_18_1201,557,
