xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.227290868759,,,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,t,1,0.367660045624,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,y,1,0.284194946289,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,y,200,0,1,1,0,,,,,,,,,,,,,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,h,0,0.484283924103,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,h,-200,0,3,3,2,0,0,0,0,,,,,,,h,1,0.417766094208,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,h,-200,0,3,3,2,1,0,1,0,,,,,,,h,1,0.383943796158,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,y,200,,,,,,,,,0,0,0,0,,,y,1,0.551241159439,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,t,200,,,,,,,,,0,1,1,1,,,h,0,0.601243019104,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,g,-200,,,,,,,,,0,2,2,3,,,g,1,0.450865983963,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
200,h,-200,,,,,,,,,0,3,3,2,,,y,0,0.534307003021,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
-200,t,200,,,,,,,,,1,0,4,1,,,None,0,,LearningTask,,,59.9176014125,3,2015_Mar_18_1458,620,
