xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,h,0.578835010529,,,,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,t,0,0.584593057632,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,h,0,0.734745025635,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
200,y,200,0,1,1,0,1,0,1,0,,,,,,,y,1,0.600862026215,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
200,y,200,0,1,1,0,,,,,,,,,,,,,,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
-200,t,200,0,2,2,1,0,0,0,0,,,,,,,t,1,0.617738008499,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
-200,t,200,0,2,2,1,,,,,,,,,,,,,,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
200,h,-200,0,3,3,2,0,0,0,0,,,,,,,h,1,0.534461021423,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,LearningTask,,,59.9420059538,3,2015_Mar_18_1449,618,
