xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,11.1643211842,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,0,0,8,0,0,0,0,None,,,,,,,,,,w,1,0.367756843567,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,0,0,8,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,1,1,0,0,0,0,0,None,,,,,,,,,,w,1,0.650556087494,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,1,1,0,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,s,-200,0,2,2,6,0,0,0,0,None,,,,,,,,,,s,1,0.716282844543,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,s,-200,0,2,2,6,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,3,3,1,0,0,0,0,None,,,,,,,,,,q,1,0.517226934433,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,3,3,1,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,4,4,5,0,0,0,0,None,,,,,,,,,,None,0,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,4,4,5,1,0,1,0,None,,,,,,,,,,None,0,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,4,4,5,2,0,2,0,None,,,,,,,,,,q,1,0.400261878967,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,4,4,5,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,a,-200,0,5,5,7,0,0,0,0,None,,,,,,,,,,a,1,0.750206947327,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,a,-200,0,5,5,7,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,a,-200,0,6,6,3,0,0,0,0,None,,,,,,,,,,a,1,0.700261116028,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,a,-200,0,6,6,3,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,s,-200,0,7,7,2,0,0,0,0,None,,,,,,,,,,s,1,0.434036016464,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,s,-200,0,7,7,2,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,8,8,4,0,0,0,0,None,,,,,,,,,,w,1,0.317089080811,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
200,w,200,0,8,8,4,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,9,9,9,0,0,0,0,None,,,,,,,,,,q,1,0.333627939224,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
-200,q,200,0,9,9,9,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.097978109,3,2015_Apr_12_1045,25,
