xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.414676904678,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,q,200,0,0,0,5,0,0,0,0,None,,,q,1,0.533661842346,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,q,200,0,0,0,5,,,,,,,,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,q,200,0,1,1,1,0,0,0,0,None,,,s,0,0.517337083817,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,q,200,0,1,1,1,1,0,1,0,None,,,q,1,0.667325019836,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,q,200,0,1,1,1,,,,,,,,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
200,s,-200,0,2,2,6,0,0,0,0,None,,,s,1,0.433701038361,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
200,s,-200,0,2,2,6,,,,,,,,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,a,-200,0,3,3,7,0,0,0,0,None,,,a,1,0.792675018311,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
-200,a,-200,0,3,3,7,,,,,,,,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
200,s,-200,0,4,4,2,0,0,0,0,None,,,w,0,0.556642055511,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
200,s,-200,0,4,4,2,1,0,1,0,None,,,s,1,0.300283908844,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
200,s,-200,0,4,4,2,,,,,,,,,,,LearningTask,,,60.1598696487,3,2015_Apr_12_1057,30,
