xPos,corrAns,yPos,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,space,0.371188879013,,,,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
-200,g,-200,0,0,0,0,None,0,0,0,3,,,,,,,,g,1,0.400837898254,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
200,h,-200,0,0,0,0,None,0,1,1,2,,,,,,,,h,1,0.33374786377,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
200,y,200,0,0,0,0,None,0,2,2,0,,,,,,,,y,1,0.31751203537,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
-200,t,200,0,0,0,0,None,0,3,3,1,,,,,,,,t,1,0.35097193718,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
-200,t,200,0,0,0,0,None,1,0,4,1,,,,,,,,t,1,0.401206016541,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
200,h,-200,0,0,0,0,None,1,1,5,2,,,,,,,,h,1,0.417768955231,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
200,y,200,0,0,0,0,None,1,2,6,0,,,,,,,,y,1,0.401186943054,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
-200,g,-200,0,0,0,0,None,1,3,7,3,,,,,,,,g,1,0.317579984665,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
-200,t,200,0,0,0,0,None,2,0,8,1,,,,,,,,t,1,0.367648124695,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
200,h,-200,0,0,0,0,None,2,1,9,2,,,,,,,,h,1,0.38441991806,LearningTask,,,59.9222239049,3,2015_Mar_24_1332,9995,
