xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.36262011528,,,,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
-200,q,200,0,0,0,9,0,0,0,0,None,,,s,0,0.673871040344,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
-200,q,200,0,0,0,9,1,0,1,0,None,,,q,1,0.300012111664,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
-200,q,200,0,0,0,9,,,,,,,,,,,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,w,200,0,1,1,0,0,0,0,0,None,,,w,1,0.350945949554,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,w,200,0,1,1,0,,,,,,,,,,,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,s,-200,0,2,2,2,0,0,0,0,None,,,s,1,0.301101922989,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,s,-200,0,2,2,2,,,,,,,,,,,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,w,200,0,3,3,4,0,0,0,0,None,,,s,0,0.466844081879,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,w,200,0,3,3,4,1,0,1,0,None,,,w,1,0.316367149353,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
200,w,200,0,3,3,4,,,,,,,,,,,LearningTask,,,60.083514903,3,2015_Apr_12_1454,52,
