xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.272614955902,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,,,,,g,1,0.434386014938,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,,,,,y,1,0.334285020828,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,0,1,1,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,,,,,h,1,0.334295988083,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,,,,,g,1,0.601062059402,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,t,1,0.367655038834,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,1,1,5,2,0,0,0,0,,,,,,,,,,,h,1,0.350844144821,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,1,1,5,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,1,2,6,1,0,0,0,0,,,,,,,,,,,t,1,0.467452049255,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,1,2,6,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,1,3,7,0,0,0,0,0,,,,,,,,,,,h,0,0.46745800972,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,1,3,7,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,,,,,,,,,0,0,0,3,0,0,0,0,,,g,1,0.434415102005,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,,,,,,,,,0,0,0,3,1,0,1,0,,,t,0,0.667767047882,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,g,-200,,,,,,,,,0,0,0,3,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,,,,,,,,,0,1,1,1,0,0,0,0,,,t,1,0.434500932693,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,,,,,,,,,0,1,1,1,1,0,1,0,,,t,1,0.350798130035,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
-200,t,200,,,,,,,,,0,1,1,1,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,,,,,,,,,0,2,2,2,0,0,0,0,,,h,1,0.350807905197,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,h,-200,,,,,,,,,0,2,2,2,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,,,y,1,0.300992012024,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
200,y,200,,,,,,,,,0,3,3,0,,,,,,,,,,LearningTask,,,59.9057060548,3,2015_Mar_18_1617,21,
