xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.367927789688,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
200,w,200,0,0,0,8,0,0,0,0,None,,,w,1,0.499967098236,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
200,w,200,0,0,0,8,,,,,,,,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,a,-200,0,1,1,3,0,0,0,0,None,,,a,1,0.466788053513,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,a,-200,0,1,1,3,,,,,,,,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,a,-200,0,2,2,7,0,0,0,0,None,,,w,0,0.601024866104,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,a,-200,0,2,2,7,1,0,1,0,None,,,a,1,0.334334135056,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,a,-200,0,2,2,7,,,,,,,,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
200,s,-200,0,3,3,2,0,0,0,0,None,,,s,1,0.666901111603,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
200,s,-200,0,3,3,2,,,,,,,,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,q,200,0,4,4,9,0,0,0,0,None,,,q,1,0.517835855484,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
-200,q,200,0,4,4,9,,,,,,,,,,,LearningTask,,,60.3849730922,3,2015_Apr_12_1106,34,
