xPos,location,ShapeStimulus,Shape,yPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,space,1.50402212143,,,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
-200,down_left,hexagonyellow.gif,Line,-200,g,0,0,0,24,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,None,None,None,-200,h,0,1,1,23,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
-200,down_left,hexagongreen.gif,Square,-200,g,0,2,2,26,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,None,None,None,-200,h,0,3,3,20,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,up_right,crossorange.gif,Square,200,y,0,4,4,2,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
-200,None,None,None,200,t,0,5,5,14,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,up_right,crossgray.gif,Triangle,200,y,0,6,6,1,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,down_right,diamondgray.gif,Line,-200,h,0,7,7,16,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
-200,None,None,None,-200,g,0,8,8,30,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
-200,up_left,circlecyan.gif,Circle,200,t,0,9,9,11,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,None,None,None,-200,h,0,10,10,22,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
200,None,None,None,200,y,0,11,11,6,,,None,0,LearningTask,,,59.9476603669,3,2015_Mar_05_1304,44,
