xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.329780101776,,,,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
-200,q,200,0,0,0,1,,,,,,,,,,,,,,,q,1,0.333472013474,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
200,w,200,0,1,1,4,,,,,,,,,,,,,,,w,1,0.399550914764,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
200,w,200,0,2,2,0,,,,,,,,,,,,,,,w,1,0.417454957962,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
-200,q,200,0,3,3,5,,,,,,,,,,,,,,,q,1,0.316772937775,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
-200,a,-200,0,4,4,7,,,,,,,,,,,,,,,a,1,0.466637134552,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
200,s,-200,0,5,5,6,,,,,,,,,,,,,,,s,1,0.267143964767,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
200,w,200,0,6,6,8,,,,,,,,,,,,,,,w,1,0.267030000687,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
-200,a,-200,0,7,7,3,,,,,,,,,,,,,,,a,1,0.333330154419,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
-200,q,200,0,8,8,9,,,,,,,,,,,,,,,q,1,0.367519855499,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
200,s,-200,0,9,9,2,,,,,,,,,,,,,,,s,1,0.333391904831,,,,LearningTask,,,59.9024549086,3,2015_Apr_12_1047,26,
