xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.47198009491,,,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,g,-200,0,0,0,3,0,0,0,0,,,,,,,g,1,0.501113891602,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,y,1,0.350887060165,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,y,200,0,1,1,0,,,,,,,,,,,,,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,t,200,0,2,2,1,0,0,0,0,,,,,,,t,1,0.528392076492,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,t,200,0,2,2,1,,,,,,,,,,,,,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,h,-200,0,3,3,2,0,0,0,0,,,,,,,y,0,0.634710073471,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,y,200,,,,,,,,,0,0,0,0,,,h,0,0.651085138321,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,t,200,,,,,,,,,0,1,1,1,,,g,0,0.768105983734,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,g,-200,,,,,,,,,0,2,2,3,,,None,0,,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,h,-200,,,,,,,,,0,3,3,2,,,y,0,0.417428016663,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,g,-200,,,,,,,,,1,0,4,3,,,t,0,0.534119844437,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,h,-200,,,,,,,,,1,1,5,2,,,y,0,0.567959070206,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
-200,t,200,,,,,,,,,1,2,6,1,,,t,1,0.784845113754,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
200,y,200,,,,,,,,,1,3,7,0,,,y,1,0.484364032745,LearningTask,,,59.9158039692,3,2015_Mar_18_1432,606,
