xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,0.766337871552,,,,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
-200,t,200,0,0,0,1,,,,,,,t,1,0.500929832458,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,y,200,0,1,1,0,,,,,,,y,1,0.384498119354,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
-200,g,-200,0,2,2,3,,,,,,,g,1,0.367566108704,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,h,-200,0,3,3,2,,,,,,,h,1,0.317553043365,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
-200,t,200,,,,,0,0,0,1,,,t,1,0.40093588829,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,y,200,,,,,0,1,1,0,,,y,1,0.450750112534,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
-200,g,-200,,,,,0,2,2,3,,,g,1,0.367382049561,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,h,-200,,,,,0,3,3,2,,,h,1,0.367465019226,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
-200,g,-200,,,,,1,0,4,3,,,t,0,0.367489099503,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,h,-200,,,,,1,1,5,2,,,h,1,0.367346048355,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
200,y,200,,,,,1,2,6,0,,,y,1,0.367589950562,LearningTask,,,59.9024549086,3,2015_Mar_05_1418,75,
