xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.238330841064,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,y,200,0,0,0,0,0,0,0,0,None,,,h,0,0.484201908112,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,y,200,0,0,0,0,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,h,-200,0,1,1,2,0,0,0,0,None,,,h,1,0.401319026947,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,h,-200,0,1,1,2,1,0,1,0,None,,,h,1,0.485357999802,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,h,-200,0,1,1,2,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,t,200,0,2,2,1,0,0,0,0,None,,,h,0,0.45115685463,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,t,200,0,2,2,1,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,0,3,3,3,0,0,0,0,None,,,g,1,0.434238910675,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,0,3,3,3,1,0,1,0,None,,,g,1,0.467291116714,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,0,3,3,3,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,y,200,1,0,4,0,0,0,0,0,None,,,y,1,0.534497022629,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
200,y,200,1,0,4,0,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,t,200,1,1,5,1,0,0,0,0,None,,,h,0,0.600239038467,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,t,200,1,1,5,1,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,1,2,6,3,0,0,0,0,None,,,g,1,0.367420911789,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,1,2,6,3,1,0,1,0,None,,,g,1,0.43332695961,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
-200,g,-200,1,2,6,3,,,,,,,,,,,LearningTask,,,59.9215390462,3,2015_Mar_19_0942,201,
