xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.613242864609,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,,,,,None,0,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,,,,,g,1,0.434492826462,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,g,-200,0,1,1,3,1,0,1,0,,,,,,,,,,,,g,1,0.400913000107,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,,g,1,0.434501886368,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,,y,1,0.434195041656,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,h,-200,1,0,4,2,0,0,0,0,,,,,,,,,,,,h,1,0.384150981903,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,h,-200,1,0,4,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,1,1,5,1,0,0,0,0,,,,,,,,,,,,t,1,0.45103096962,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,1,2,6,1,0,0,0,0,,,,,,,,,,,,t,1,0.450607061386,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,1,2,6,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,h,-200,1,3,7,2,0,0,0,0,,,,,,,,,,,,y,0,0.667792081833,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
200,h,-200,1,3,7,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,,,,,,,,,0,0,0,1,0,0,0,0,None,,,t,1,0.684445858002,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,,,,,,,,,0,0,0,1,1,0,1,0,None,,,t,1,0.551112890244,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
-200,t,200,,,,,,,,,0,0,0,1,,,,,,,,,,,LearningTask,,,59.9253915799,3,2015_Mar_18_1526,653,
