xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,0.527098894119,,,,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,t,200,0,0,0,1,,,,,,,t,1,0.584372997284,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,h,-200,0,1,1,2,,,,,,,h,1,0.417655944824,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,y,200,0,2,2,0,,,,,,,y,1,0.416734933853,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,g,-200,0,3,3,3,,,,,,,g,1,0.450773000717,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,h,-200,,,,,0,0,0,2,,,h,1,0.684022903442,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,g,-200,,,,,0,1,1,3,,,g,1,0.500554084778,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,t,200,,,,,0,2,2,1,,,t,1,0.467703104019,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,y,200,,,,,0,3,3,0,,,y,1,0.500792980194,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,h,-200,,,,,1,0,4,2,,,h,1,0.467448949814,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,y,200,,,,,1,1,5,0,,,y,1,0.517555952072,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,g,-200,,,,,1,2,6,3,,,g,1,0.467437982559,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
-200,t,200,,,,,1,3,7,1,,,t,1,0.28399515152,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
200,y,200,,,,,2,0,8,0,,,None,0,,LearningTask,,,59.9664303831,3,2015_Mar_05_1424,80,
