xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.312488079071,,,,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
-200,g,-200,0,0,0,3,0,0,0,0,None,,,t,0,0.367609977722,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
-200,g,-200,0,0,0,3,,,,,,,,,,,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
200,y,200,0,1,1,0,0,0,0,0,None,,,y,1,0.40080499649,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
200,y,200,0,1,1,0,1,0,1,0,None,,,y,1,0.400997877121,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
200,y,200,0,1,1,0,,,,,,,,,,,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
-200,t,200,0,2,2,1,0,0,0,0,None,,,t,1,0.484373807907,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
-200,t,200,0,2,2,1,,,,,,,,,,,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
200,h,-200,0,3,3,2,0,0,0,0,None,,,h,1,0.50096487999,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
200,h,-200,0,3,3,2,,,,,,,,,,,LearningTask,,,59.9323273891,3,2015_Mar_18_1510,626,
