xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,2.42444992065,,,,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
200,s,-200,0,0,0,2,,,,,,,,,,,,,,,s,1,0.534695863724,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
200,w,200,0,1,1,0,,,,,,,,,,,,,,,w,1,0.35105919838,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
-200,q,200,0,2,2,9,,,,,,,,,,,,,,,q,1,0.267117977142,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
200,w,200,0,3,3,4,,,,,,,,,,,,,,,w,1,0.251375198364,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
-200,q,200,0,4,4,5,,,,,,,,,,,,,,,q,1,0.400941133499,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
-200,q,200,0,5,5,1,,,,,,,,,,,,,,,q,1,0.368409872055,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
200,w,200,0,6,6,8,,,,,,,,,,,,,,,w,1,0.33372092247,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
200,s,-200,0,7,7,6,,,,,,,,,,,,,,,s,1,0.399966001511,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
-200,a,-200,0,8,8,3,,,,,,,,,,,,,,,a,1,0.350630998611,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
-200,a,-200,0,9,9,7,,,,,,,,,,,,,,,a,1,0.200664043427,,,,LearningTask,,,59.8257277627,3,2015_Apr_02_1239,111,
