xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.391024827957,,,,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
200,s,-200,0,0,0,6,,,,,,,,,,,,,,,s,1,0.367201805115,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
200,w,200,0,1,1,8,,,,,,,,,,,,,,,w,1,0.300205945969,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
200,s,-200,0,2,2,2,,,,,,,,,,,,,,,s,1,0.467122077942,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
-200,a,-200,0,3,3,7,,,,,,,,,,,,,,,a,1,0.335906982422,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
-200,q,200,0,4,4,1,,,,,,,,,,,,,,,q,1,0.317086935043,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
200,w,200,0,5,5,4,,,,,,,,,,,,,,,w,1,0.283620119095,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
200,w,200,0,6,6,0,,,,,,,,,,,,,,,w,1,0.333972930908,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
-200,q,200,0,7,7,9,,,,,,,,,,,,,,,q,1,0.500458955765,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
-200,a,-200,0,8,8,3,,,,,,,,,,,,,,,a,1,0.400808811188,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
-200,q,200,0,9,9,5,,,,,,,,,,,,,,,q,1,0.384375095367,,,,LearningTask,,,59.6221362055,3,2015_Apr_12_1105,33,
