xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,1.46816301346,,,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,None,0,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,h,1,0.751801013947,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,0,1,1,2,1,0,1,0,,,,,,,h,1,0.717813968658,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,y,1,0.567717075348,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,0,2,2,0,,,,,,,,,,,,,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,g,1,0.501234054565,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,,,,,,,,,0,0,0,2,,,y,0,0.484435796738,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,,,,,,,,,0,1,1,3,,,t,0,0.734642982483,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,,,,,,,,,0,2,2,1,,,t,1,0.517613887787,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,,,,,,,,,0,3,3,0,,,y,1,0.467566013336,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,,,,,,,,,1,0,4,2,,,y,0,0.617824077606,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,,,,,,,,,1,1,5,1,,,None,0,,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,,,,,,,,,1,2,6,0,,,y,1,0.600919961929,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,,,,,,,,,1,3,7,3,,,g,1,0.767970085144,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,,,,,,,,,2,0,8,2,,,h,1,0.667835950851,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,,,,,,,,,2,1,9,0,,,y,1,0.450943946838,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,,,,,,,,,2,2,10,1,,,t,1,0.450965881348,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,,,,,,,,,2,3,11,3,,,g,1,0.517735004425,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,t,200,,,,,,,,,3,0,12,1,,,t,1,0.484573125839,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,y,200,,,,,,,,,3,1,13,0,,,y,1,0.484399080276,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
200,h,-200,,,,,,,,,3,2,14,2,,,h,1,0.784770011902,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
-200,g,-200,,,,,,,,,3,3,15,3,,,g,1,0.417904853821,LearningTask,,,59.9233368336,3,2015_Mar_18_1450,619,
