xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.264018058777,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,0,0,8,0,0,0,0,None,,,,,,,,,,w,1,0.56719493866,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,0,0,8,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,a,-200,0,1,1,3,0,0,0,0,None,,,,,,,,,,a,1,0.372567892075,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,a,-200,0,1,1,3,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,2,2,5,0,0,0,0,None,,,,,,,,,,s,0,0.467246055603,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,2,2,5,1,0,1,0,None,,,,,,,,,,q,1,0.450391054153,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,2,2,5,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,s,-200,0,3,3,6,0,0,0,0,None,,,,,,,,,,s,1,0.35032582283,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,s,-200,0,3,3,6,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,4,4,9,0,0,0,0,None,,,,,,,,,,q,1,0.417288064957,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,4,4,9,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,5,5,1,0,0,0,0,None,,,,,,,,,,q,1,0.40040397644,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,q,200,0,5,5,1,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,s,-200,0,6,6,2,0,0,0,0,None,,,,,,,,,,s,1,0.400443077087,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,s,-200,0,6,6,2,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,a,-200,0,7,7,7,0,0,0,0,None,,,,,,,,,,a,1,0.417155981064,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
-200,a,-200,0,7,7,7,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,8,8,4,0,0,0,0,None,,,,,,,,,,w,1,0.400358915329,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,8,8,4,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,9,9,0,0,0,0,0,None,,,,,,,,,,s,0,0.36709189415,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,9,9,0,1,0,1,0,None,,,,,,,,,,w,1,0.167038917542,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
200,w,200,0,9,9,0,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.0253880115,3,2015_Apr_12_1055,28,
