xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopBlocks.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,space,1.72493314743,,,,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
-200,q,200,0,0,0,1,,,,,,,,,,,,,,,,,q,1,0.367465019226,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
-200,a,-200,0,1,1,7,,,,,,,,,,,,,,,,,a,1,0.350845813751,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
200,s,-200,0,2,2,2,,,,,,,,,,,,,,,,,s,1,0.300818920135,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
-200,a,-200,0,3,3,3,,,,,,,,,,,,,,,,,a,1,0.317691087723,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
200,w,200,0,4,4,0,,,,,,,,,,,,,,,,,w,1,0.336093902588,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
200,s,-200,0,5,5,6,,,,,,,,,,,,,,,,,s,1,0.267370939255,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
200,w,200,0,6,6,8,,,,,,,,,,,,,,,,,w,1,0.234268188477,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
200,w,200,0,7,7,4,,,,,,,,,,,,,,,,,w,1,0.367285966873,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
-200,q,200,0,8,8,9,,,,,,,,,,,,,,,,,q,1,0.334110021591,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
-200,q,200,0,9,9,5,,,,,,,,,,,,,,,,,q,1,0.500913858414,LearningTask,,,59.9487742408,3,2015_Apr_01_1237,12497,
