xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.385056972504,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,y,1,0.400887012482,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,0,0,0,1,0,1,0,,,,,,,,y,1,0.367744922638,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,g,1,0.501162052155,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,0,1,1,3,1,0,1,0,,,,,,,,g,1,0.384030103683,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,y,1,0.384169101715,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,2,2,0,1,0,1,0,,,,,,,,y,1,0.317504167557,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,,t,1,0.401017189026,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,0,3,3,1,1,0,1,0,,,,,,,,t,1,0.334095001221,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,0,4,2,0,0,0,0,,,,,,,,h,1,0.317409038544,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,0,4,2,1,0,1,0,,,,,,,,h,1,0.284264087677,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,0,4,2,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,1,1,5,1,0,0,0,0,,,,,,,,t,1,0.317476987839,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,1,1,5,1,1,0,1,0,,,,,,,,t,1,0.384104013443,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,t,200,1,1,5,1,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,1,2,6,3,0,0,0,0,,,,,,,,g,1,0.350796937943,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,1,2,6,3,1,0,1,0,,,,,,,,g,1,0.350887060165,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
-200,g,-200,1,2,6,3,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,3,7,2,0,0,0,0,,,,,,,,y,0,0.400905132294,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,3,7,2,1,0,1,0,,,,,,,,h,1,0.301040172577,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
200,h,-200,1,3,7,2,,,,,,,,,,,,,,,LearningTask,,,59.9602581221,3,2015_Mar_18_1633,50,
