xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.305320978165,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,0,0,0,2,0,0,0,0,,,,,,,,,,,h,1,0.417536973953,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,0,0,0,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,,,,g,1,0.434319972992,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,,,,y,1,0.300848007202,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,y,1,0.434246063232,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,h,0,0.751361131668,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,1,1,5,3,0,0,0,0,,,,,,,,,,,g,1,0.350780963898,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,1,1,5,3,1,0,1,0,,,,,,,,,,,t,0,0.31737279892,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,1,1,5,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,1,2,6,2,0,0,0,0,,,,,,,,,,,h,1,0.300936937332,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,1,2,6,2,1,0,1,0,,,,,,,,,,,h,1,0.35095500946,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,1,2,6,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,1,3,7,1,0,0,0,0,,,,,,,,,,,h,0,0.584477901459,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,1,3,7,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,,,,,,,,,0,0,0,2,0,0,0,0,,,h,1,0.818027019501,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,,,,,,,,,0,0,0,2,1,0,1,0,,,h,1,0.351150989532,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,h,-200,,,,,,,,,0,0,0,2,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,,,,,,,,,0,1,1,3,0,0,0,0,,,g,1,0.367607831955,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,g,-200,,,,,,,,,0,1,1,3,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,,,,,,,,,0,2,2,1,0,0,0,0,,,t,1,0.30087518692,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
-200,t,200,,,,,,,,,0,2,2,1,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,,,,,,,,,0,3,3,0,0,0,0,0,,,y,1,0.317610025406,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
200,y,200,,,,,,,,,0,3,3,0,,,,,,,,,,LearningTask,,,59.8551820784,3,2015_Mar_18_1619,28,
