xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.378286838531,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,,y,1,0.384358882904,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,y,200,0,0,0,0,1,0,1,0,,,,,,,,y,1,0.550776958466,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,y,200,0,0,0,0,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,g,1,0.517703056335,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,y,1,0.401294231415,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,,t,1,0.450659036636,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,g,-200,1,0,4,3,0,0,0,0,,,,,,,,g,1,0.400952100754,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,g,-200,1,0,4,3,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,h,-200,1,1,5,2,0,0,0,0,,,,,,,,h,1,0.350897073746,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,h,-200,1,1,5,2,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,h,-200,1,2,6,2,0,0,0,0,,,,,,,,h,1,0.317579984665,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
200,h,-200,1,2,6,2,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,t,200,1,3,7,1,0,0,0,0,,,,,,,,t,1,0.234095811844,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
-200,t,200,1,3,7,1,,,,,,,,,,,,,,,LearningTask,,,59.9664303831,3,2015_Mar_18_1630,60,
