xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.455515861511,,,,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
200,w,200,0,0,0,0,0,0,0,0,None,,,w,1,0.450694084167,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
200,w,200,0,0,0,0,,,,,,,,,,,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
-200,q,200,0,1,1,5,0,0,0,0,None,,,q,1,0.400872945786,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
-200,q,200,0,1,1,5,,,,,,,,,,,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
-200,a,-200,0,2,2,7,0,0,0,0,None,,,s,0,0.433731079102,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
-200,a,-200,0,2,2,7,1,0,1,0,None,,,a,1,0.350565910339,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
-200,a,-200,0,2,2,7,,,,,,,,,,,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
200,s,-200,0,3,3,2,0,0,0,0,None,,,s,1,0.433454036713,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
200,s,-200,0,3,3,2,,,,,,,,,,,LearningTask,,,60.1525360043,3,2015_Apr_12_1058,31,
