xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.406203985214,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,t,1,0.400717973709,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,h,0,0.417747020721,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,y,1,0.417715072632,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,0,2,2,0,1,0,1,0,,,,,,,,,,,,,,,,,y,1,0.484280109406,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,0,3,3,2,0,0,0,0,,,,,,,,,,,,,,,,,h,1,0.40092587471,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,,,,,,,None,0,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,1,1,5,2,0,0,0,0,,,,,,,,,,,,,,,,,h,1,0.484372854233,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,1,1,5,2,1,0,1,0,,,,,,,,,,,,,,,,,h,1,0.434226036072,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,1,2,6,0,0,0,0,0,,,,,,,,,,,,,,,,,y,1,0.367644071579,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,g,-200,1,3,7,3,0,0,0,0,,,,,,,,,,,,,,,,,h,0,0.517628908157,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,g,-200,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,0,0,0,1,0,0,0,0,None,,,t,1,0.48449587822,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,0,0,0,1,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,,,,,,,,,0,0,0,0,None,0,1,1,0,0,0,0,0,None,,,y,1,0.300666809082,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,y,200,,,,,,,,,0,0,0,0,None,0,1,1,0,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,0,2,2,1,0,0,0,0,None,,,t,1,0.367574930191,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,0,2,2,1,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,,,,,,,,,0,0,0,0,None,0,3,3,2,0,0,0,0,None,,,h,1,0.869379997253,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
200,h,-200,,,,,,,,,0,0,0,0,None,0,3,3,2,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,1,0,4,1,0,0,0,0,None,,,h,0,0.51765203476,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,t,200,,,,,,,,,0,0,0,0,None,1,0,4,1,,,,,,,,,,,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
-200,g,-200,,,,,,,,,0,0,0,0,None,1,1,5,3,0,0,0,0,None,,,g,1,0.450620174408,LearningTask,,,59.8333233476,3,2015_Mar_18_1624,19,
