xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,beginningSSD,trialType,goStim,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.451385974884,,,,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
200,w,200,0,0,0,4,,,,,,,,,,,,,,,w,1,0.450289964676,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
200,s,-200,0,1,1,2,,,,,,,,,,,,,,,s,1,0.350368976593,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
-200,a,-200,0,2,2,3,,,,,,,,,,,,,,,a,1,0.433748960495,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
-200,q,200,0,3,3,9,,,,,,,,,,,,,,,q,1,0.233826875687,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
200,s,-200,0,4,4,6,,,,,,,,,,,,,,,s,1,0.333896875381,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
-200,a,-200,0,5,5,7,,,,,,,,,,,,,,,a,1,0.333723068237,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
200,w,200,0,6,6,0,,,,,,,,,,,,,,,w,1,0.27178812027,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
-200,q,200,0,7,7,1,,,,,,,,,,,,,,,q,1,0.317611932755,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
200,w,200,0,8,8,8,,,,,,,,,,,,,,,w,1,0.350761890411,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
-200,q,200,0,9,9,5,,,,,,,,,,,,,,,q,1,0.584357023239,,,,LearningTask,,,59.9879575109,3,2015_Apr_12_1053,27,
