xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,resp.keys,resp.corr,resp.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.413465023041,,,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.692739963531,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
,,,,,,,,,,,,,,,,,,,,,,,,,space,0.917122840881,,,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
-200,a,-200,,,,,,,,,0,0,0,0,None,0,0,0,3,0,0,0,0,None,,,,,a,1,0.400485992432,1.93,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
-200,a,-200,,,,,,,,,0,0,0,0,None,0,0,0,3,,,,,,,,,,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,0,0,0,0,None,,,,,s,0,0.539304018021,3.99,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,1,0,1,0,None,,,,,w,1,0.333122014999,4.15,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
200,w,200,,,,,,,,,0,0,0,0,None,0,1,1,0,,,,,,,,,,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
200,w,200,,,,,,,,,0,0,0,0,None,0,2,2,0,0,0,0,0,None,,,,,w,1,0.433522939682,0.28,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
200,w,200,,,,,,,,,0,0,0,0,None,0,2,2,0,,,,,,,,,,,,,,LearningTask,,,60.2481861497,3,2015_Apr_12_1435,40,
