xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.863766908646,,,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,y,1,0.601228952408,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
200,y,200,0,0,0,0,,,,,,,,,,,,,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
-200,t,200,0,1,1,1,0,0,0,0,,,,,,,t,1,0.434242010117,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
-200,t,200,0,1,1,1,,,,,,,,,,,,,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,y,0,0.484402179718,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,None,0,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
-200,g,-200,0,3,3,3,1,0,1,0,,,,,,,g,1,0.500958919525,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,LearningTask,,,59.8999740081,3,2015_Mar_18_1438,612,
