xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.476947069168,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,0,0,0,2,0,0,0,0,,,,,,,,,,,,h,1,0.434332847595,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,0,0,0,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,0,1,1,0,0,0,0,0,,,,,,,,,,,,y,1,0.450938940048,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,0,1,1,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,,g,1,0.384119987488,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,,,,,,t,1,0.367683887482,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,1,0,4,1,0,0,0,0,,,,,,,,,,,,t,1,0.384275913239,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,1,0,4,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,1,1,5,3,0,0,0,0,,,,,,,,,,,,g,1,0.384277105331,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,1,1,5,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,1,2,6,2,0,0,0,0,,,,,,,,,,,,h,1,0.350714206696,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,1,2,6,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,1,3,7,0,0,0,0,0,,,,,,,,,,,,y,1,0.217195034027,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,1,3,7,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,,,,,,,,,0,0,0,1,0,0,0,0,None,,,t,1,0.4341340065,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,,,,,,,,,0,0,0,1,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,,,,,,,,,0,1,1,1,0,0,0,0,None,,,t,1,0.434653997421,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,t,200,,,,,,,,,0,1,1,1,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,0,2,2,0,0,0,0,0,None,,,y,1,0.0338678359985,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,0,2,2,0,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,,,,,,,,,0,3,3,3,0,0,0,0,None,,,g,1,0.417577981949,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
-200,g,-200,,,,,,,,,0,3,3,3,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,,,,,,,,,1,0,4,2,0,0,0,0,None,,,h,1,0.417722940445,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,,,,,,,,,1,0,4,2,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,1,5,0,0,0,0,0,None,,,y,1,0.467751979828,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,1,5,0,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,2,6,0,0,0,0,0,None,,,y,1,0.450921058655,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,2,6,0,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,3,7,0,0,0,0,0,None,,,y,1,0.45099401474,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,y,200,,,,,,,,,1,3,7,0,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,,,,,,,,,2,0,8,2,0,0,0,0,None,,,h,1,0.434216976166,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
200,h,-200,,,,,,,,,2,0,8,2,,,,,,,,,,,LearningTask,,,59.9232512222,3,2015_Mar_18_1504,622,
