xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,n,0.479879140854,,,,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
200,y,200,0,0,0,0,0,0,0,0,,,,,,,h,0,0.48422908783,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
200,y,200,0,0,0,0,,,,,,,,,,,,,,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,g,-200,0,1,1,3,0,0,0,0,,,,,,,g,1,0.951901912689,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,g,-200,0,1,1,3,1,0,1,0,,,,,,,t,0,0.517915964127,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,g,-200,0,1,1,3,,,,,,,,,,,,,,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
200,h,-200,0,2,2,2,0,0,0,0,,,,,,,y,0,0.400861024857,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
200,h,-200,0,2,2,2,1,0,1,0,,,,,,,y,0,0.417513132095,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,t,200,0,3,3,1,0,0,0,0,,,,,,,h,0,0.63467001915,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,t,200,0,3,3,1,1,0,1,0,,,,,,,h,0,0.567758083344,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,LearningTask,,,60.0125052761,3,2015_Mar_18_1449,617,
