0.3345 	WARNING 	Movie2 stim could not be imported and won't be available
4.6082 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xf1c5df0>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6082 	EXP 	window1: recordFrameIntervals = False
4.7735 	EXP 	window1: recordFrameIntervals = True
4.9574 	EXP 	window1: recordFrameIntervals = False
6.4713 	EXP 	Set  sound=C
6.5015 	EXP 	Set  sound=900.0
6.5015 	EXP 	Sound  set volume 0.200
6.5054 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x587c10>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
6.5077 	EXP 	Created polygon = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-2.0, fillColor=array([ 1.,  1.,  1.]), fillColorSpace='rgb', fillRGB=array([ 1.,  1.,  1.]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
6.5081 	EXP 	Created sequence: random, trialTypes=1, nReps=10, seed=None
6.5086 	EXP 	New trial (rep=0, index=0): None
6.5086 	EXP 	window1: recordFrameIntervals = False
6.5246 	EXP 	window1: recordFrameIntervals = False
7.0421 	EXP 	Sound  started
7.0583 	EXP 	polygon: autoDraw = True
7.2084 	EXP 	Sound  stopped
8.0088 	EXP 	Sound  stopped
8.0091 	EXP 	New trial (rep=1, index=0): None
8.0091 	EXP 	window1: recordFrameIntervals = False
8.0254 	EXP 	polygon: autoDraw = False
8.0255 	EXP 	window1: recordFrameIntervals = False
8.5259 	EXP 	Sound  started
8.5424 	EXP 	polygon: autoDraw = True
8.7092 	EXP 	Sound  stopped
9.5099 	EXP 	Sound  stopped
9.5102 	EXP 	New trial (rep=2, index=0): None
9.5102 	EXP 	window1: recordFrameIntervals = False
9.5264 	EXP 	polygon: autoDraw = False
9.5264 	EXP 	window1: recordFrameIntervals = False
10.0269 	EXP 	Sound  started
10.0436 	EXP 	polygon: autoDraw = True
10.2104 	EXP 	Sound  stopped
11.0110 	EXP 	Sound  stopped
11.0113 	EXP 	New trial (rep=3, index=0): None
11.0114 	EXP 	window1: recordFrameIntervals = False
11.0277 	EXP 	polygon: autoDraw = False
11.0278 	EXP 	window1: recordFrameIntervals = False
11.5286 	EXP 	Sound  started
11.5450 	EXP 	polygon: autoDraw = True
11.7120 	EXP 	Sound  stopped
12.5127 	EXP 	Sound  stopped
12.5130 	EXP 	New trial (rep=4, index=0): None
12.5130 	EXP 	window1: recordFrameIntervals = False
12.5294 	EXP 	polygon: autoDraw = False
12.5295 	EXP 	window1: recordFrameIntervals = False
13.0297 	EXP 	Sound  started
13.0462 	EXP 	polygon: autoDraw = True
13.2130 	EXP 	Sound  stopped
14.0135 	EXP 	Sound  stopped
14.0140 	EXP 	New trial (rep=5, index=0): None
14.0140 	EXP 	window1: recordFrameIntervals = False
14.0301 	EXP 	polygon: autoDraw = False
14.0302 	EXP 	window1: recordFrameIntervals = False
14.5474 	EXP 	Sound  started
14.5637 	EXP 	polygon: autoDraw = True
14.7139 	EXP 	Sound  stopped
15.5146 	EXP 	Sound  stopped
15.5151 	EXP 	New trial (rep=6, index=0): None
15.5151 	EXP 	window1: recordFrameIntervals = False
15.5311 	EXP 	polygon: autoDraw = False
15.5312 	EXP 	window1: recordFrameIntervals = False
16.0317 	EXP 	Sound  started
16.0480 	EXP 	polygon: autoDraw = True
16.2149 	EXP 	Sound  stopped
17.0158 	EXP 	Sound  stopped
17.0161 	EXP 	New trial (rep=7, index=0): None
17.0161 	EXP 	window1: recordFrameIntervals = False
17.0324 	EXP 	polygon: autoDraw = False
17.0324 	EXP 	window1: recordFrameIntervals = False
17.5501 	EXP 	Sound  started
17.5664 	EXP 	polygon: autoDraw = True
17.7166 	EXP 	Sound  stopped
18.5172 	EXP 	Sound  stopped
18.5175 	EXP 	New trial (rep=8, index=0): None
18.5175 	EXP 	window1: recordFrameIntervals = False
18.5338 	EXP 	polygon: autoDraw = False
18.5339 	EXP 	window1: recordFrameIntervals = False
19.0342 	EXP 	Sound  started
19.0505 	EXP 	polygon: autoDraw = True
19.2173 	EXP 	Sound  stopped
20.0180 	EXP 	Sound  stopped
20.0184 	EXP 	New trial (rep=9, index=0): None
20.0184 	EXP 	window1: recordFrameIntervals = False
20.0347 	EXP 	polygon: autoDraw = False
20.0347 	EXP 	window1: recordFrameIntervals = False
20.5351 	EXP 	Sound  started
20.5516 	EXP 	polygon: autoDraw = True
20.7186 	EXP 	Sound  stopped
21.5191 	EXP 	Sound  stopped
